OBJECTID,visited_status,recycling_time_visited,rubbish_time_visited
43893,RUBBISH,,2021-06-19 14:57:59
43894,RUBBISH,,2021-06-19 14:58:15
43903,RUBBISH,,2021-06-19 12:42:00
43932,RUBBISH,,2021-06-19 12:53:01
43933,RUBBISH,,2021-06-19 12:52:46
43934,RUBBISH,,2021-06-19 12:41:44
43935,RUBBISH,,2021-06-19 12:42:15
44151,RUBBISH,,2021-06-19 13:55:44
44152,RUBBISH,,2021-06-19 15:52:34
44153,RUBBISH,,2021-06-19 15:52:35
44154,RUBBISH,,2021-06-19 15:52:42
44155,RUBBISH,,2021-06-19 15:52:43
44721,RECYCLE,2021-06-19 13:52:21,
44723,RECYCLE,2021-06-19 13:53:38,
44878,RECYCLE,2021-06-19 15:33:29,
44879,RECYCLE,2021-06-19 15:33:14,
44881,RECYCLE,2021-06-19 15:23:27,
44882,RECYCLE,2021-06-19 15:21:38,
44990,RUBBISH,,2021-06-19 14:57:10
44991,RUBBISH,,2021-06-19 18:19:49
44992,RUBBISH,,2021-06-19 18:19:41
44993,RUBBISH,,2021-06-19 14:54:35
44994,RUBBISH,,2021-06-19 14:35:49
44995,RUBBISH,,2021-06-19 14:36:04
44997,RUBBISH,,2021-06-19 14:17:03
44998,RUBBISH,,2021-06-19 14:31:27
45345,RUBBISH,,2021-06-19 14:23:00
45348,BOTH,2021-06-19 15:17:00,2021-06-19 13:33:44
45352,RECYCLE,2021-06-19 18:33:51,
45353,RECYCLE,2021-06-19 18:33:59,
45358,RUBBISH,,2021-06-19 15:24:50
45359,RUBBISH,,2021-06-19 15:25:04
45364,RUBBISH,,2021-06-19 13:58:08
45366,RECYCLE,2021-06-19 14:57:41,
45368,RECYCLE,2021-06-19 17:13:33,
45369,RECYCLE,2021-06-19 17:16:54,
45411,RUBBISH,,2021-06-19 16:36:24
45418,RECYCLE,2021-06-19 15:38:57,
45490,RUBBISH,,2021-06-19 15:52:27
45491,RUBBISH,,2021-06-19 15:52:26
